formatted_com_name,com_name,sci_name,learn_more_link
Coopers_Hawk,Cooper's Hawk,Accipiter cooperii,https://www.allaboutbirds.org/guide/Coopers_Hawk/overview
Costas_Hummingbird,Costa's Hummingbird,Calypte costae,https://www.allaboutbirds.org/guide/Costas_Hummingbird/overview
Crested_Auklet,Crested Auklet,Aethia cristatella,https://www.allaboutbirds.org/guide/Crested_Auklet/overview
Crested_Caracara,Crested Caracara,Caracara plancus,https://www.allaboutbirds.org/guide/Crested_Caracara/overview
Curlew_Sandpiper,Curlew Sandpiper,Calidris ferruginea,https://www.allaboutbirds.org/guide/Curlew_Sandpiper/overview
Dark-eyed_Junco,Dark-eyed Junco,Junco hyemalis,https://www.allaboutbirds.org/guide/Dark-eyed_Junco/overview
Dickcissel,Dickcissel,Spiza americana,https://www.allaboutbirds.org/guide/Dickcissel/overview
Double-crested_Cormorant,Double-crested Cormorant,Nannopterum auritum,https://www.allaboutbirds.org/guide/Double-crested_Cormorant/overview
Downy_Woodpecker,Downy Woodpecker,Dryobates pubescens,https://www.allaboutbirds.org/guide/Downy_Woodpecker/overview
Dunlin,Dunlin,Calidris alpina,https://www.allaboutbirds.org/guide/Dunlin/overview
Dusky_Flycatcher,Dusky Flycatcher,Empidonax oberholseri,https://www.allaboutbirds.org/guide/Dusky_Flycatcher/overview
Dusky_Grouse,Dusky Grouse,Dendragapus obscurus,https://www.allaboutbirds.org/guide/Dusky_Grouse/overview
Dusky_Thrush,Dusky Thrush,Turdus eunomus,https://www.allaboutbirds.org/guide/Dusky_Thrush/overview
Dusky-capped_Flycatcher,Dusky-capped Flycatcher,Myiarchus tuberculifer,https://www.allaboutbirds.org/guide/Dusky-capped_Flycatcher/overview
Eared_Grebe,Eared Grebe,Podiceps nigricollis,https://www.allaboutbirds.org/guide/Eared_Grebe/overview
Eastern_Bluebird,Eastern Bluebird,Sialia sialis,https://www.allaboutbirds.org/guide/Eastern_Bluebird/overview
Eastern_Kingbird,Eastern Kingbird,Tyrannus tyrannus,https://www.allaboutbirds.org/guide/Eastern_Kingbird/overview
Eastern_Meadowlark,Eastern Meadowlark,Sturnella magna,https://www.allaboutbirds.org/guide/Eastern_Meadowlark/overview
Eastern_Phoebe,Eastern Phoebe,Sayornis phoebe,https://www.allaboutbirds.org/guide/Eastern_Phoebe/overview
Eastern_Wood-Pewee,Eastern Wood-Pewee,Contopus virens,https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee/overview
Eastern_Yellow_Wagtail,Eastern Yellow Wagtail,Motacilla tschutschensis,https://www.allaboutbirds.org/guide/Eastern_Yellow_Wagtail/overview
Egyptian_Goose,Egyptian Goose,Alopochen aegyptiaca,https://www.allaboutbirds.org/guide/Egyptian_Goose/overview
Elegant_Tern,Elegant Tern,Thalasseus elegans,https://www.allaboutbirds.org/guide/Elegant_Tern/overview
Emperor_Goose,Emperor Goose,Anser canagicus,https://www.allaboutbirds.org/guide/Emperor_Goose/overview
